,Words,Frequency
1,gondola,16418
2,canyon,10599
4,ski,5005
5,traffic,5002
6,people,4729
7,resorts,4350
8,bus,4011
9,Cottonwood,3279
10,solution,2982
11,Little,2816
12,parking,2710
13,Canyon,2708
14,Gondola,2703
15,use,2644
16,LCC,2577
17,public,2527
18,money,2420
19,UDOT,2186
20,year,2133
21,cost,2093
22,project,2087
23,Utah,2054
24,like,2046
25,road,1962
26,want,1960
27,need,1943
28,benefit,1887
29,buses,1822
30,Alta,1750
31,option,1717
32,impact,1715
33,canyons,1661
34,support,1651
35,time,1636
36,problem,1630
37,tax,1611
38,better,1607
39,days,1605
40,access,1563
41,system,1519
42,pay,1518
43,Snowbird,1514
44,service,1500
45,going,1484
46,think,1469
47,transportation,1438
48,way,1366
49,beauty,1348
50,build,1279
51,dollars,1253
52,years,1247
53,private,1223
54,expensive,1221
55,options,1220
56,$,1207
57,idea,1173
58,natural,1168
59,skiers,1168
60,areas,1167
61,alternative,1125
62,winter,1115
63,users,1102
64,cars,1100
65,solutions,1099
66,Lake,1090
67,resort,1071
68,Salt,1066
69,ride,1065
70,believe,1051
71,proposed,1047
72,Wasatch,1045
73,plan,1037
74,beautiful,980
75,little,976
76,construction,954
77,EIS,947
78,best,935
79,snow,919
80,needs,903
81,congestion,889
82,area,888
83,state,884
84,decision,878
85,climbing,877
86,environment,876
87,long,875
88,benefits,872
89,number,857
90,help,855
91,issues,849
92,skiing,842
93,taxpayer,835
94,busses,834
95,taxpayers,831
96,ruin,826
97,toll,822
98,solve,820
99,drive,819
100,environmental,816
101,opposed,809
102,serve,805
103,cottonwood,802
104,community,800
105,destroy,789
106,issue,766
107,building,750
108,day,745
109,season,739
110,base,711
111,increase,707
112,tolling,704
113,residents,702
114,work,683
115,car,682
116,know,676
117,2,669
118,consider,669
119,good,667
120,live,665
121,vehicles,660
122,sense,646
123,lot,639
124,problems,636
125,resident,635
126,proposal,625
127,change,622
128,oppose,614
129,local,608
130,alternatives,607
131,high,598
132,increased,597
133,electric,591
134,place,583
135,round,575
136,times,574
137,far,570
138,million,564
139,reduce,562
140,strongly,559
141,great,558
142,impacts,551
143,future,550
144,recreation,549
145,feel,546
146,stop,544
147,transit,539
148,provide,537
149,built,536
150,wo,534
151,park,526
152,run,524
153,skier,518
154,towers,517
155,B,517
156,majority,515
157,large,513
158,capacity,513
159,experience,508
160,comment,508
161,huge,502
162,infrastructure,500
163,businesses,497
164,pass,496
165,costs,496
166,City,495
167,land,490
168,serves,490
169,small,486
170,water,483
171,stops,482
172,roads,480
173,spend,478
174,etc,476
175,come,476
176,GONDOLA,476
177,right,469
178,favor,468
179,payers,467
180,world,464
181,summer,464
182,user,463
183,love,455
184,mountain,452
185,forward,451
186,big,450
187,enhanced,448
188,valley,441
189,address,439
190,instead,439
191,making,437
192,hiking,437
193,lane,436
194,bad,434
195,driving,433
196,effective,432
197,able,431
198,waste,429
199,current,429
200,let,429
201,damage,427
202,payer,427
203,mouth,425
204,funding,424
205,improve,424
206,preferred,424
207,visitors,424
208,paying,422
209,new,421
210,vehicle,421
211,limit,420
212,nature,420
213,avalanche,419
214,widening,418
215,makes,416
216,funds,415
217,limited,415
218,reasons,412
219,peak,410
220,actually,409
221,backcountry,409
222,enjoy,407
223,travel,405
224,comments,404
225,tolls,402
226,add,398
227,look,396
228,considered,392
229,forever,390
230,billion,381
231,needed,380
232,create,380
233,mountains,377
234,thing,376
235,line,376
236,try,375
237,Sandy,375
238,views,373
239,population,370
240,allow,370
241,landscape,369
242,months,368
243,away,367
244,resources,365
245,understand,365
246,Thank,365
247,permanent,360
248,Big,358
249,Utahns,354
250,find,354
251,expense,354
252,including,352
253,fact,351
254,entire,350
255,especially,349
256,additional,347
257,likely,347
258,term,344
259,locals,342
260,life,341
261,simply,340
262,30,339
263,free,339
264,view,338
265,paid,337
266,single,336
267,watershed,336
268,trying,336
269,spent,336
270,choice,335
271,implemented,333
272,wildlife,333
273,eyesore,332
274,hope,332
275,reservations,332
276,1,329
277,trailheads,329
278,visual,329
279,city,324
280,Let,324
281,gondolas,322
282,massive,319
283,profit,318
284,terrible,317
285,citizens,317
286,20,316
287,getting,316
288,lanes,316
289,tourists,314
290,approach,311
291,ways,310
292,Blvd,307
293,having,307
294,near,306
295,reason,305
296,cause,305
297,existing,304
298,hours,304
299,half,302
300,wants,301
301,industry,299
302,3,299
303,fund,299
304,services,299
305,business,299
306,minutes,299
307,Alternative,299
308,afford,298
309,price,298
310,taxes,297
311,hikers,295
312,10,295
313,answer,295
314,permanently,294
315,safety,294
316,reconsider,293
317,lots,293
318,frequent,293
319,carpooling,293
320,quality,291
321,air,290
322,wealthy,288
323,environmentally,288
324,climbers,288
325,funded,286
326,rich,285
